key,input,translation.english,translation.russian,definition.english,definition.russian,definition.serbian,example,synonyms,additionalInfo.partOfSpeech,additionalInfo.grammaticalGender,additionalInfo.grammaticalNumber,additionalInfo.cases.singular.nominative,additionalInfo.cases.singular.genitive,additionalInfo.cases.singular.dative,additionalInfo.cases.singular.accusative,additionalInfo.cases.singular.instrumental,additionalInfo.cases.singular.locative,additionalInfo.cases.singular.vocative,additionalInfo.cases.plural.nominative,additionalInfo.cases.plural.genitive,additionalInfo.cases.plural.dative,additionalInfo.cases.plural.accusative,additionalInfo.cases.plural.instrumental,additionalInfo.cases.plural.locative,additionalInfo.cases.plural.vocative,createdAt._seconds,createdAt._nanoseconds,updatedAt._seconds,updatedAt._nanoseconds
Uzastopni,,consecutive,последовательный,Following one after another without interruption.,Следующий один за другим без перерыва.,Koji sleduje jedan za drugim bez prekida.,Ove godine smo imali uzastopne kišne dane.,"neprekidni, kontinuirani, stalni",,,,,,,,,,,,,,,,,,,,,
Uzavreti,,to boil,кипеть,To reach a temperature at which bubbles form and rise to the surface in a liquid.,"достичь температуры, при которой образуются пузырьки и поднимаются на поверхность в жидкости.",Dostići temperaturu na kojoj se formiraju mehurići i izbijaju na površinu tečnosti.,Voda će uskoro uzavreti.,"ključati, provriti, zakuvati",,,,,,,,,,,,,,,,,,,,,
Uzdržati se,,to restrain oneself,воздержаться,To refrain or keep oneself from doing something.,удержаться или воздержаться от какого-либо действия.,Obuzdati se ili držati se dalje od neke radnje.,Pokušao je da se uzdrži od smeha.,"kontrolisati se, savladati se, zadržati se",,,,,,,,,,,,,,,,,,,,,
Uzmakniti,,to retreat,отступать,"To withdraw, move back, especially from something difficult or challenging.","отступить, отходить назад, особенно от чего-то сложного или трудного","povući se, odstupiti, naročito od nečeg teškog ili izazovnog","Kada je postalo suviše opasno, odlučili su da uzmaknu.","povući se, ustuknuti, odstupiti",,,,,,,,,,,,,,,,,,,,,
Uštedeti,,to save,сохранить,"To avoid unnecessary expenditure or waste, especially to accumulate something such as money.","Избегать ненужных расходов или потерь, особенно для накопления чего-то, такого как деньги.","Izbeći nepotrebne troškove ili rasipanje, posebno da bi se nešto uštedelo kao što je novac.",Trebalo bi da uštedim novac za putovanje.,"štedeti, sačuvati, akumulirati",,,,,,,,,,,,,,,,,,,,,
Valjati,,to roll,катить,To rotate an object by moving it over a surface.,"Перемещать объект, вращая его по поверхности.",Rotirati objekt pomerajući ga preko površine.,On je naučio kako valjati kamen niz brdo.,"kotrljati, gurati, kotljati",,,,,,,,,,,,,,,,,,1731661683,415000000,1731661683,415000000
Valjda,,probably,наверное,"An expression used to convey uncertainty or probability, similar to 'probably' or 'I guess' in English.","Выражение, используемое для передачи неуверенности или вероятности, аналогично 'наверное' или 'я думаю' в русском языке.","Izraz koji se koristi za izražavanje neizvesnosti ili verovatnoće, slično kao 'verovatno' ili 'pretpostavljam' u srpskom jeziku.",Valjda će sutra biti bolje vreme.,"verovatno, možda, moguće",,,,,,,,,,,,,,,,,,,,,
Važio,,to be valid,быть действительным,"To have legal force or value, to be in effect.","иметь законную силу или значение, быть в силе.","imati zakonsku snagu ili vrednost, biti na snazi.",Ovaj zakon je važio do prošle godine.,"vredeti, biti na snazi, biti aktuelan",,,,,,,,,,,,,,,,,,,,,
Vidovi,,to see,видеть,To perceive with the eyes.,воспринимать глазами,sačuvati sliku objekta iz stvarnosti,Vidim pticu na drvetu.,"opaziti, uvideti, registrovati",,,,,,,,,,,,,,,,,,,,,
Vijorila,,fluttered,колыхалась,"To move gently in the air, like a flag or a leaf, due to wind or breeze.","двигаться на ветру или в воздухе легко и плавно, как флаг или лист","lagano se kretati na vetru ili u vazduhu, kao zastava ili list",Zastava se vijorila na vetru,"ljuljati se, talasati, lepršati",,,,,,,,,,,,,,,,,,,,,
Vijoriti,,to flutter,развеваться,To wave or flutter in the wind.,развеваться на ветру.,lepršati se na vetru.,Zastava se vijori na vetru.,"lepršati, mahati, viti",,,,,,,,,,,,,,,,,,,,,
Vikanje,,shouting,крик,"The act of producing loud cries or calls, typically as a means of communication or expression.","Действие по издаванию громких криков или выкриков, как правило, в качестве средства общения или выражения.","Čin proizvodnje glasnih povika ili uzvika, obično kao sredstvo komunikacije ili izražavanja.",Njeno vikanje se moglo čuti kroz celu kuću.,"vikanje, deranje, urlikanje, krikanje",,,,,,,,,,,,,,,,,,,,,
Vitak,,slim,стройный,Having a slender or thin build.,Имеющий стройное или тонкое телосложение.,Koji ima tanak ili vitak oblik.,Ona je vrlo vitka osoba.,"tanak, mršav, zgodan",,,,,,,,,,,,,,,,,,,,,
Voditi pažnju,,to pay attention,обращать внимание,"To focus or concentrate on something, be mindful of something.",сосредоточиться или обратить внимание на что-то,"usmeriti pažnju na nešto, biti svestan nečega",Važno je voditi pažnju na detalje tokom rada.,"pratiti, obraćati pažnju, posvećivati pažnju",,,,,,,,,,,,,,,,,,,,,
Voditi računa,,to take care,заботиться,To be attentive and careful about something or someone.,быть внимательным и осторожным по отношению к чему-либо или кому-либо.,biti pažljiv i oprezan u vezi nečega ili nekoga.,Moramo voditi računa o svojoj okolini.,"brinuti se, paziti, čuvati, starati se",,,,,,,,,,,,,,,,,,,,,
Vodnjikavi,,watery,водянистый,Having a lot of water; overly diluted or thin in consistency.,Имеющий много воды; слишком разбавленный или жидкий по консистенции.,Koji ima dosta vode; previše razređen ili tanak u konzistenciji.,Supa je bila vodnjikava i neukusna.,"vodenast, razređen, tečan",,,,,,,,,,,,,,,,,,,,,
Vrh,,top,верх,The highest part or point of something.,наивысшая точка или часть чего-либо,najviša tačka ili deo nečega,Popeo se na vrh planine.,"gore, najviši, krov",,,,,,,,,,,,,,,,,,,,,
ZASUKATI,,to roll up,закатать,"To fold or roll something, typically sleeves or cuffs, into a smaller or more compact form.","свернуть или сложить, обычно рукава или манжеты, в более компактную форму.","Presaviti ili smotati nešto, obično rukave ili manžetne, u manji obim.",Zasuci rukave pre nego što započneš rad.,"zaviti, savijati, obmotaći",,,,,,,,,,,,,,,,,,1731666796,720000000,1731666796,720000000
Zabiberiti,,to spice up,приправить,To add pepper or to figuratively add something to make a story or event more interesting.,добавить перец или в переносном смысле добавить что-то для большей зрелищности.,dodati biber ili u prenesenom značenju dodati nešto da bi priča ili događaj bili zanimljiviji.,On je sve lepo ispričao i onda je zabiberio priču sa nekoliko šala.,"začiniti, obogatiti, osoliti",,,,,,,,,,,,,,,,,,1731408353,934000000,1731408353,934000000
Zabrijati,,to get carried away,увлекаться,To become deeply involved or overly enthusiastic about something.,очень увлечься чем-то,postati veoma entuzijastičan ili previše angažovan u nečemu,Ne zabrijaj previše u to što su ti rekli.,"zasanjati, zapustiti, zamisaliti",,,,,,,,,,,,,,,,,,1731660598,525000000,1731660598,525000000
Zabrljati,,to mess up,испортить,To make mistakes or to do something in a careless or incorrect way.,совершать ошибки или делать что-то небрежно или неправильно.,Napraviti greške ili učiniti nešto neoprezno ili pogrešno.,On je uspeo da zabrlja ceo projekat.,"pokvariti, zakomplikovati, omašiti, zezati",,,,,,,,,,,,,,,,,,1731660696,284000000,1731660696,284000000
Zagrejati,,to heat,нагревать,To make something warm or hot.,сделать что-то теплым или горячим.,učiniti nešto toplim ili vrućim.,Zagrejati vodu za čaj.,"uvoleti, zagrejavati, užeći",,,,,,,,,,,,,,,,,,,,,
Zahvalan,,grateful,благодарный,Feeling or showing an appreciation for something done or received.,Чувство или демонстрация признательности за что-то сделанное или полученное.,Osećanje ili pokazivanje zahvalnosti za nešto učinjeno ili primljeno.,Bio je veoma zahvalan za svu pomoć.,"blagodaran, zahvalan, prisutan",,,,,,,,,,,,,,,,,,,,,
Zaigrati,,to start playing,начать играть,"To begin playing a game, instrument, or activity.","начать играть в игру, на инструменте, или заниматься деятельностью.","početi igrati igru, svirati instrument ili se baviti nekom aktivnošću.","Kada čuje muziku, odmah će zaigrati.","igrati, zaplesati, početi",,,,,,,,,,,,,,,,,,,,,
Zameriti,,to blame,обвинять,To express disapproval or to hold someone accountable for a mistake or fault.,выражать неодобрение или возлагать вину за ошибку или недостаток,izražavanje nezadovoljstva nekome zbog greške ili propusta,Nemoj da mi zameriš što nisam stigao na vreme.,"prekoreti, prigovoriti, zamerati",,,,,,,,,,,,,,,,,,1731661416,178000000,1731661416,178000000
Zameriti se,,To offend,Оскорбить,To cause someone to be upset or annoyed with you.,Заставить кого-то расстроиться или сердиться на вас.,Uzrokovati da se neko naljuti ili razočara zbog vas.,"Ne želim da mu se zamerim, pa ću biti pažljiv sa rečima.","uvrediti, povrediti, razočarati",,,,,,,,,,,,,,,,,,,,,
